gene,count
ZNF384,1
TPI1,1
C12orf57,4
C1RL,2
SLC2A3,1
KLRG1,2
A2M,3
CD69,2
KLRF1,1
CLEC1A,1
KLRD1,5
ARHGDIB,4
AEBP2,1
RECQL,2
LDHB,1
FGFR1OP2,1
STK38L,1
CCDC91,1
ZNF641,1
LIMA1,1
ATF1,1
DAZAP2,1
BIN2,1
SPRYD3,1
PRR13,4
HNRNPA1,5
NCKAP1L,1
BLOC1S1,1
CD63,6
PA2G4,1
RBMS2,1
STAT6,1
R3HDM2,1
MBD6,1
DTX3,1
TSPAN31,1
SLC16A7,1
USP15,2
TBK1,2
RASSF3,1
RAP1B,3
CNOT2,3
KRR1,1
NAP1L1,1
PAWR,1
PPP1R12A,2
BTG1,3
SNRPF,3
TMPO,1
IKBIP,1
ACTR6,1
GNPTAB,1
HSP90B1,1
NOPCHAP1,1
RIC8B,1
GLTP,1
PPTC7,1
NAA25,2
RBM19,1
TAOK3,1
PXN,2
CFAP251,1
VPS37B,1
UBC,6
SLC15A4,1
RAN,4
ANKLE2,3
GOLGA3,1
CHFR,1
PSPC1,1
GTF3A,2
HMGB1,2
N4BP2L1,1
N4BP2L2,2
PDS5B,1
WBP4,1
LCP1,1
ITM2B,1
LPAR6,2
RCBTB2,5
PHF11,2
RNASEH2B,1
WDFY2,1
DIS3,1
LMO7,2
CLN5,1
MYCBP2,1
GPR183,1
TM9SF2,1
CLYBL,1
ARGLU1,1
TNFSF13B,1
UPF3A,1
LRP10,2
ACIN1,1
PABPN1,1
PSME2,1
GZMH,4
GZMB,7
SCFD1,1
PPP2R3C,1
NFKBIA,2
MIA2,2
NEMF,2
ARF6,1
GNG2,1
GMFB,1
MAPK1IP1L,1
ATG14,1
ACTR10,1
L3HYPDH,1
PRKCH,2
SNAPC1,1
PPP2R5E,2
SYNE2,4
ZFP36L1,4
DCAF5,2
RBM25,1
PNMA1,1
YLPM1,1
FOS,2
GPATCH2L,1
IRF2BPL,1
TMED8,1
SLIRP,2
FOXN3,1
CCDC88C,1
FBLN5,1
TRIP11,2
SLC24A4,1
BTBD7,2
DDX24,2
SYNE3,1
BCL11B,1
EVL,1
PPP2R5C,4
HSP90AA1,6
KLC1,1
NUDT14,1
TUBGCP5,2
UBE3A,2
RASGRP1,1
RTF1,1
EHD4,2
GANC,1
PDIA3,1
B2M,82
EID1,2
USP8,1
TRPM7,1
ARPP19,1
RSL24D1,1
RAB27A,1
CCPG1,2
ZNF280D,2
BNIP2,1
LACTB,1
USP3,1
DPP8,2
RAB11A,1
AAGAB,2
PKM,1
CSK,3
NEIL1,1
SIN3A,1
TSPAN3,1
PSMA4,1
ZFAND6,2
WHAMM,1
ADAMTSL3,1
WDR73,1
AKAP13,2
ISG20,1
IQGAP1,3
FURIN,1
VPS33B,1
CHD2,1
RGMA,1
MEF2A,1
LRRK1,1
NPRL3,3
CAPN15,1
TSC2,1
FLYWCH1,1
HCFC1R1,1
IL32,4
ZNF200,1
HMOX2,1
CDIP1,1
UBN1,1
PMM2,1
CIITA,1
SOCS1,2
LITAF,2
SNX29,1
NTAN1,1
ARL6IP1,1
SMG1,3
GGA2,1
PRKCB,1
RBBP6,1
IL4R,2
SULT1A1,1
RABEP2,1
YPEL3,2
MAPK3,1
CORO1A,3
ORAI3,1
FUS,4
ADCY7,2
CYLD,2
RBL2,2
MT2A,3
HERPUD1,1
CKLF,5
CMTM3,2
DYNC1LI2,1
NFAT5,2
EXOSC6,1
ST3GAL2,1
PHLPP2,1
TMEM170A,1
CDH13,1
MAP1LC3B,1
CYBA,4
ACSF3,1
SPG7,2
ZNF276,1
PRPF8,1
SMYD4,1
ARRB2,2
PFN1,19
KIF1C,1
RABEP1,1
C1QBP,2
DERL2,1
TXNDC17,2
ACAP1,3
KDM6B,1
NAA38,2
CHD3,1
KCNAB3,1
VAMP2,4
TTC19,1
NCOR1,3
TRPV2,1
SMCR5,1
SUPT6H,1
MYO18A,1
TAOK1,1
NSRP1,1
UTP6,2
SUZ12,2
RAD51D,1
SLFN12L,1
CCL5,14
CCL3,7
CCL4,67
CCL4L2,4
GGNBP2,3
SYNRG,1
CWC25,1
PLXDC1,1
WIPF2,1
SMARCE1,1
CNP,1
STAT5A,2
NAGLU,1
TMUB2,1
GPATCH8,1
FMNL1,2
MAPT,1
KANSL1,1
NSF,1
GOSR2,1
CBX1,1
SKAP1,3
FAM117A,2
TOB1,3
NME1,1
VEZF1,1
SRSF1,1
VMP1,1
TLK2,1
LIMD2,1
ERN1,1
SMURF2,1
GNA13,1
RGS9,1
PSMD12,1
AMZ2,1
ARSG,1
SSTR2,2
NHERF1,2
GRB2,1
TSEN54,1
LLGL2,1
RECQL5,1
H3-3B,7
WBP2,1
TNRC6C,2
PGS1,1
EIF4A3,1
RNF213,3
ACTG1,25
MRPL12,1
P4HB,1
PCYT2,1
FN3K,1
METRNL,1
COLEC12,2
MYL12A,11
ANKRD12,4
PTPN2,2
ROCK1,1
RNF125,1
KIAA1328,1
ARK2N,1
LIPG,1
ACAA2,3
CXXC1,1
MEX3C,1
NEDD4L,1
ZNF532,1
SEC11C,2
PMAIP1,1
BCL2,1
MBP,3
NFATC1,1
SNRPB,3
PTPRA,1
DNAAF9,1
MAVS,1
PRNP,1
TMEM230,1
PCNA,1
GPCPD1,1
SNRPB2,2
RRBP1,1
CST7,4
APMAP,1
ASXL1,1
DYNLRB1,2
CEP250,1
SAMHD1,2
RBL1,1
PPP1R16B,2
SRSF6,1
STK4,2
PREX1,1
ZFAS1,3
RNF114,1
CEBPB,1
ZNF217,2
STX16,1
GNAS,3
FAM217B,1
SS18L1,1
PPDPF,5
STMN3,1
TPGS1,1
GZMM,2
CNN2,1
MIDN,1
CIRBP,3
REXO1,2
ABHD17A,2
CSNK1G2,1
MKNK2,1
MOB3A,2
TIMM13,1
GADD45B,1
MATK,1
ZBTB7A,1
TNFAIP8L1,1
DENND1C,1
TNFSF14,1
VAV1,1
PET100,1
STXBP2,1
HNRNPM,1
MYO1F,1
DNMT1,2
PDE4A,1
DNM2,1
CALR,2
YJU2B,1
CC2D1A,1
PKN1,1
TECR,2
AKAP8L,1
RASAL3,1
TPM4,3
HSH2D,1
AP1M1,2
C19orf44,1
CPAMD8,1
ABHD8,1
BST2,4
JUND,11
GATAD2A,1
ATP13A1,1
ZNF506,1
ZNF43,1
PLEKHF1,2
URI1,1
CEP89,1
FXYD5,3
USF2,1
HAUS5,1
U2AF1L4,1
PSENEN,2
HCST,5
TYROBP,3
ZFP82,1
ZNF529,1
ZNF829,1
ZNF571,1
GMFG,1
SUPT5H,1
SERTAD1,1
SHKBP1,1
TGFB1,3
ARHGEF1,1
ZNF227,1
BCL3,1
RELB,2
FOSB,2
VASP,4
OPA3,1
AP2S1,1
ARHGAP35,2
TMEM160,1
C5AR1,1
EMP3,3
PPP1R15A,4
FTL,26
SNRNP70,2
CD37,2
FLT3LG,1
RRAS,3
PNKP,1
NKG7,24
ZNF836,1
ZNF808,1
ZNF845,1
TFPT,1
LENG1,1
LENG8,1
NCR1,1
UBE2S,3
A1BG,1
BID,1
PEX26,1
YDJC,1
SDF2L1,1
CHCHD10,2
MIF,1
DDT,2
UPB1,1
SNRPD3,1
MIAT,1
XBP1,1
ASCC2,2
TBC1D10A,1
SLC35E4,1
DEPDC5,1
IL2RB,3
RAC2,1
SH3BP1,1
EIF3L,3
DDX17,3
CBX6,1
APOBEC3C,1
APOBEC3G,5
ATF4,1
GRAP2,2
TNRC6B,1
EP300,1
CYB5R3,1
ARFGAP3,1
TSPO,1
PARVG,1
PRR5,1
CDPF1,1
TBC1D22A,2
TUBGCP6,1
NCAPH2,1
NRIP1,1
SCAF4,1
IFNAR1,2
CRYZL1,1
SLC5A3,2
RUNX1,2
PIGP,1
TTC3,1
DYRK1A,1
RRP1B,1
CSTB,4
UBE2G2,1
ITGB2,2
YBEY,2
DIP2A,1
PRMT2,1
MT-ND1,12
MT-ND2,8
MT-CO1,97
MT-CO2,70
MT-ATP8,2
MT-ATP6,26
MT-CO3,67
MT-ND3,11
MT-ND4L,4
MT-ND4,42
MT-ND5,10
MT-ND6,5
MT-CYB,40
GIPR,1
MCF2L2,1
ZNF280C,1
TBX21,1
LAG3,1
MYO15A,1
TLL2,1
CATSPERG,2
CENPM,1
NEFM,2
CRX,2
LGI1,1
LRP2BP,1
GSG1,1
IFNG,2
MAK,2
ITK,1
HEMK1,1
GALNT3,1
PTCH2,2
TJP2,1
TEX14,1
PZP,1
GCH1,1
SEMA4F,1
CACNA1A,1
XCL1,7
SCN1A,1
ABCB9,1
RNF207,1
GPR153,3
RAPGEF6,1
TFF2,1
FCRL3,1
FBXL13,1
LRRC56,1
PLCD3,1
C12orf50,1
ANKDD1A,1
PLK1,1
OR51E2,1
PROCA1,1
ULK4,1
CNTROB,1
FGFBP3,1
EID2B,1
LRRC37A,1
CDK5R1,1
GRAMD1C,1
TSSK6,1
IGSF22,1
ARID3B,3
MYL11,2
S1PR5,1
TIGIT,1
NEB,1
KLHL33,1
SHOX,1
GOLGA8R,1
TRABD2A,1
ZNF793,1
NUGGC,1
KLRC2,1
TRIM59,1
ZNF880,3
TIGD1,1
ENTPD1-AS1,1
LTA,4
SPOPL-DT,1
ITPKB-AS1,1
MBNL1-AS1,1
FAM41C,1
ENSG00000237126,1
SAP30L-AS1,1
LINC00504,1
BFSP2-AS1,1
PCDHGB6,1
EEF1G,1
OVCH1-AS1,2
LINC00528,1
CASC15,1
